Actual_jobs,City,State
0,Shelby,North Carolina
0,Cherokee,North Carolina
1,Belvoir,North Carolina
0,Sims,North Carolina
14,Salvo,North Carolina
0,Badin,North Carolina
0,Lake Royale,North Carolina
0,Long View,North Carolina
1,Elizabethtown,North Carolina
29,Sparta,North Carolina
0,Fremont,North Carolina
0,Plain View,North Carolina
3,Jacksonville,North Carolina
0,Stallings,North Carolina
0,Harkers Island,North Carolina
0,Broad Creek,North Carolina
0,Duck,North Carolina
2,Lewiston Woodville,North Carolina
1,Cliffside,North Carolina
0,Kings Mountain,North Carolina
2,Andrews,North Carolina
0,Stem,North Carolina
1,Faith,North Carolina
0,Stonewall,North Carolina
0,Clinton,North Carolina
0,Fallston,North Carolina
1,Barker Heights,North Carolina
0,Spring Lake,North Carolina
2,Lake Santeetlah,North Carolina
2,La Grange,North Carolina
3,Taylorsville,North Carolina
1,Conover,North Carolina
0,Butters,North Carolina
10,Murphy,North Carolina
12,Engelhard,North Carolina
21,Hobucken,North Carolina
0,Mulberry,North Carolina
1,Beaufort,North Carolina
0,Marshallberg,North Carolina
0,Kings Grant,North Carolina
0,Rowland,North Carolina
0,Mocksville,North Carolina
1,Cleveland,North Carolina
1,Parmele,North Carolina
0,Boonville,North Carolina
0,Fletcher,North Carolina
0,Manteo,North Carolina
0,Unionville,North Carolina
0,White Oak,North Carolina
0,Fayetteville,North Carolina
0,Cerro Gordo,North Carolina
0,Lumber Bridge,North Carolina
0,Staley,North Carolina
0,Mar-Mac,North Carolina
8,Edenton,North Carolina
0,Spindale,North Carolina
0,Reidsville,North Carolina
2,Autryville,North Carolina
0,Gatesville,North Carolina
3,Frisco,North Carolina
0,Castalia,North Carolina
0,Biscoe,North Carolina
0,Bayshore,North Carolina
0,Cordova,North Carolina
0,Toast,North Carolina
0,River Bend,North Carolina
1,Trent Woods,North Carolina
0,White Plains,North Carolina
0,Maysville,North Carolina
0,Bayboro,North Carolina
0,Kingstown,North Carolina
0,Hudson,North Carolina
0,Crossnore,North Carolina
2,Topsail Beach,North Carolina
0,West Canton,North Carolina
2,Surf City,North Carolina
857,Moyock,North Carolina
3,Mooresboro,North Carolina
0,Chapel Hill,North Carolina
0,Bonnetsville,North Carolina
0,Erwin,North Carolina
0,Lake Park,North Carolina
0,Wrightsboro,North Carolina
0,Red Cross,North Carolina
0,Wingate,North Carolina
0,Washington Park,North Carolina
0,Bear Grass,North Carolina
0,Brevard,North Carolina
0,Stony Point,North Carolina
0,Pinetown,North Carolina
0,Highlands,North Carolina
3,Siler City,North Carolina
0,Waxhaw,North Carolina
0,Rocky Point,North Carolina
1,Holly Ridge,North Carolina
0,East Rockingham,North Carolina
0,Riegelwood,North Carolina
0,Ansonville,North Carolina
0,Askewville,North Carolina
0,Sugar Mountain,North Carolina
0,Harrisburg,North Carolina
4,Chadbourn,North Carolina
0,Hemby Bridge,North Carolina
0,Wrightsville Beach,North Carolina
0,Rex,North Carolina
0,Oriental,North Carolina
0,Jamestown,North Carolina
11,Winston-Salem,North Carolina
0,Seven Devils,North Carolina
0,Boiling Spring Lakes,North Carolina
0,Gibsonville,North Carolina
4,Hollister,North Carolina
0,Peachland,North Carolina
0,Granite Quarry,North Carolina
0,Rockwell,North Carolina
0,Wendell,North Carolina
9,Ocracoke,North Carolina
0,Five Points,North Carolina
1,Aquadale,North Carolina
0,Keener,North Carolina
3,Fair Bluff,North Carolina
0,Moravian Falls,North Carolina
1,Dallas,North Carolina
0,Garysburg,North Carolina
0,Cove City,North Carolina
0,Kelly,North Carolina
0,Claremont,North Carolina
0,Pleasant Hill,North Carolina
1,Ayden,North Carolina
0,Pembroke,North Carolina
0,Forest Oaks,North Carolina
0,Locust,North Carolina
0,Woodfin,North Carolina
0,Mount Olive,North Carolina
0,Hamlet,North Carolina
0,Mint Hill,North Carolina
0,Lake Junaluska,North Carolina
0,Avery Creek,North Carolina
0,Kernersville,North Carolina
0,Elm City,North Carolina
1,Haw River,North Carolina
0,Archer Lodge,North Carolina
1,Littleton,North Carolina
6,Avon,North Carolina
1,McLeansville,North Carolina
0,Northchase,North Carolina
1,Cherryville,North Carolina
0,Gibson,North Carolina
0,East Arcadia,North Carolina
0,Atlantic,North Carolina
0,Lattimore,North Carolina
3,Severn,North Carolina
0,Royal Pines,North Carolina
0,Murraysville,North Carolina
1,Tyro,North Carolina
0,Speed,North Carolina
0,Seaboard,North Carolina
1,Walstonburg,North Carolina
0,Archdale,North Carolina
0,Wallace,North Carolina
0,China Grove,North Carolina
1,Lasker,North Carolina
0,Altamahaw,North Carolina
0,Elkin,North Carolina
0,Powellsville,North Carolina
0,Harrellsville,North Carolina
1,Cashiers,North Carolina
2,Midland,North Carolina
0,New Bern,North Carolina
0,Trinity,North Carolina
0,Richfield,North Carolina
0,Brookford,North Carolina
1,Orrum,North Carolina
0,Seven Lakes,North Carolina
0,Camden,North Carolina
0,Roseboro,North Carolina
0,Seven Springs,North Carolina
0,Mayodan,North Carolina
0,Northwest,North Carolina
18,Columbia,North Carolina
39,Sunbury,North Carolina
0,Bogue,North Carolina
0,Kenly,North Carolina
3,North Topsail Beach,North Carolina
0,Lumberton,North Carolina
0,Clyde,North Carolina
8,Buxton,North Carolina
0,Enfield,North Carolina
0,Enochville,North Carolina
2,Kill Devil Hills,North Carolina
0,Lilesville,North Carolina
1,Gastonia,North Carolina
0,Rennert,North Carolina
0,James City,North Carolina
0,Banner Elk,North Carolina
0,Porters Neck,North Carolina
0,Halifax,North Carolina
0,Kenansville,North Carolina
0,Randleman,North Carolina
0,Black Creek,North Carolina
0,Hiddenite,North Carolina
0,Everetts,North Carolina
0,Rocky Mount,North Carolina
0,Swepsonville,North Carolina
0,Hampstead,North Carolina
0,Ossipee,North Carolina
0,Greensboro,North Carolina
1,Alliance,North Carolina
0,Conway,North Carolina
0,Washington,North Carolina
0,Weddington,North Carolina
0,Waco,North Carolina
0,Atkinson,North Carolina
1,Pleasant Garden,North Carolina
3,Stoneville,North Carolina
0,Cricket,North Carolina
0,Laurinburg,North Carolina
1,Holly Springs,North Carolina
0,Sharpsburg,North Carolina
0,Carthage,North Carolina
0,Delway,North Carolina
0,Maury,North Carolina
0,Sneads Ferry,North Carolina
0,Scotland Neck,North Carolina
0,Shannon,North Carolina
0,Whitsett,North Carolina
0,Star,North Carolina
0,Raeford,North Carolina
0,Bermuda Run,North Carolina
0,Jackson,North Carolina
0,Calabash,North Carolina
0,Edneyville,North Carolina
1,Mooresville,North Carolina
0,Summerfield,North Carolina
1,Simpson,North Carolina
47,Langdon,North Dakota
114,Devils Lake,North Dakota
26,Wolford,North Dakota
5,Churchs Ferry,North Dakota
15,Leith,North Dakota
246,Richardton,North Dakota
30,Mercer,North Dakota
20,Jessie,North Dakota
1023,Bismarck,North Dakota
26,Heimdal,North Dakota
68,East Fairview,North Dakota
637,Burlington,North Dakota
26,Petersburg,North Dakota
79,Dickinson,North Dakota
70,Regan,North Dakota
12,Calio,North Dakota
1245,Amenia,North Dakota
10,Hannah,North Dakota
26,Golva,North Dakota
4,Lignite,North Dakota
28,Willow City,North Dakota
12,Rolette,North Dakota
48,Casselton,North Dakota
28,Osnabrock,North Dakota
979,Emerado,North Dakota
24,Marion,North Dakota
11,Shell Valley,North Dakota
62,Inkster,North Dakota
208,Sanborn,North Dakota
294,Springbrook,North Dakota
10,East Dunseith,North Dakota
18,Hannaford,North Dakota
17,Wishek,North Dakota
6,Alsen,North Dakota
10,Egeland,North Dakota
110,Hankinson,North Dakota
19,Almont,North Dakota
29,Minto,North Dakota
24,Hettinger,North Dakota
14,Fessenden,North Dakota
3,Briarwood,North Dakota
27,Hazelton,North Dakota
12,Bantry,North Dakota
0,Kindred,North Dakota
10,Leeds,North Dakota
2,Loma,North Dakota
8,Manvel,North Dakota
2,Fort Totten,North Dakota
10,Glenfield,North Dakota
32,Bathgate,North Dakota
8,Calvin,North Dakota
11,Mylo,North Dakota
29,Ellendale,North Dakota
54,White Earth,North Dakota
36,Fairmount,North Dakota
0,Reile's Acres,North Dakota
33,Fort Ransom,North Dakota
2,Crosby,North Dakota
31,Ludden,North Dakota
54,Clifford,North Dakota
30,Carrington,North Dakota
3,Minot,North Dakota
14,McClusky,North Dakota
8,Sarles,North Dakota
21,Ayr,North Dakota
9,Tolna,North Dakota
2,Leonard,North Dakota
2,Northwood,North Dakota
15,Kensal,North Dakota
19,Berlin,North Dakota
0,Cathay,North Dakota
85,Wahpeton,North Dakota
19,Dazey,North Dakota
13,Foxholm,North Dakota
0,Lincoln,North Dakota
0,Des Lacs,North Dakota
0,Gladstone,North Dakota
0,Galesburg,North Dakota
17,Bowbells,North Dakota
15,Epping,North Dakota
1,Niagara,North Dakota
37,Stanton,North Dakota
9,Reynolds,North Dakota
7,Binford,North Dakota
0,Gilby,North Dakota
12,Enderlin,North Dakota
39,Solen,North Dakota
26,Robinson,North Dakota
8,St. John,North Dakota
4,Granville,North Dakota
20,Beach,North Dakota
26,Hillsboro,North Dakota
0,Larimore,North Dakota
0,Gardner,North Dakota
39,Courtenay,North Dakota
5,Barney,North Dakota
1,Grand Forks,North Dakota
19,Harmon,North Dakota
0,Hatton,North Dakota
2,Canton City,North Dakota
10,Lidgerwood,North Dakota
11,Turtle Lake,North Dakota
12,Fredonia,North Dakota
0,Auburn,North Dakota
0,Logan,North Dakota
10,McVille,North Dakota
7,Hansboro,North Dakota
28,Dunn Center,North Dakota
1,Wilton,North Dakota
8,Cooperstown,North Dakota
19,White Shield,North Dakota
1,Neche,North Dakota
0,Hunter,North Dakota
1,Hamilton,North Dakota
8,Rolla,North Dakota
16,Loraine,North Dakota
0,Mapleton,North Dakota
0,Barton,North Dakota
15,Drake,North Dakota
0,Belcourt,North Dakota
12,Rutland,North Dakota
0,Sykeston,North Dakota
10,Glen Ullin,North Dakota
0,Portland,North Dakota
10,Makoti,North Dakota
12,Douglas,North Dakota
8,Westhope,North Dakota
17,Hague,North Dakota
11,Kief,North Dakota
0,Max,North Dakota
0,Fargo,North Dakota
1,Jamestown,North Dakota
5,Englevale,North Dakota
0,North River,North Dakota
20,Golden Valley,North Dakota
11,Fairdale,North Dakota
0,Lansford,North Dakota
10,York,North Dakota
25,Bowman,North Dakota
13,Cogswell,North Dakota
0,Horace,North Dakota
1,Raleigh,North Dakota
0,Mohall,North Dakota
0,Oxbow,North Dakota
9,Bowdon,North Dakota
0,Pillsbury,North Dakota
10,Hebron,North Dakota
0,Zap,North Dakota
0,Sharon,North Dakota
1,Nome,North Dakota
0,Benedict,North Dakota
1,Pisek,North Dakota
0,Dunseith,North Dakota
7,Carson,North Dakota
12,Tuttle,North Dakota
14,Zeeland,North Dakota
11,Edmore,North Dakota
1,Milton,North Dakota
9,Hampden,North Dakota
0,Manning,North Dakota
6,Maddock,North Dakota
0,Drayton,North Dakota
0,Velva,North Dakota
1,Cavalier,North Dakota
10,Garrison,North Dakota
0,Frontier,North Dakota
1,Grenora,North Dakota
9,Halliday,North Dakota
0,Berthold,North Dakota
2,Oakes,North Dakota
7,Souris,North Dakota
0,Nash,North Dakota
11,Washburn,North Dakota
0,Ray,North Dakota
0,Mountain,North Dakota
16,Linton,North Dakota
8,Sherwood,North Dakota
10,Selz,North Dakota
0,Powers Lake,North Dakota
39,Mandaree,North Dakota
0,St. Thomas,North Dakota
8,Upham,North Dakota
1,Verona,North Dakota
1,Hazen,North Dakota
4,Grandin,North Dakota
11,New Leipzig,North Dakota
0,Lankin,North Dakota
8,Venturia,North Dakota
10,Sutton,North Dakota
0,New Rockford,North Dakota
10,Wing,North Dakota
5,Pekin,North Dakota
0,Minot AFB,North Dakota
0,Surrey,North Dakota
2,Pick City,North Dakota
8,Dickey,North Dakota
9,Lehr,North Dakota
1,Williston,North Dakota
10,Milnor,North Dakota
92,Watford City,North Dakota
0,Larson,North Dakota
11,Fullerton,North Dakota
9,Streeter,North Dakota
0,Thompson,North Dakota
9,Kramer,North Dakota
0,Hope,North Dakota
11,Dodge,North Dakota
24,Amidon,North Dakota
0,Pingree,North Dakota
2,McHenry,North Dakota
0,Dahlen,North Dakota
0,Luverne,North Dakota
21,New Town,North Dakota
11,Ruso,North Dakota
0,Gwinner,North Dakota
1,Wheatland,North Dakota
11,Towner,North Dakota
10,Bisbee,North Dakota
0,Lisbon,North Dakota
2,Stanley,North Dakota
4,Valley City,North Dakota
0,Sibley,North Dakota
0,Parshall,North Dakota
1,Harvey,North Dakota
10,Brocket,North Dakota
1,Blanchard,North Dakota
0,Pembina,North Dakota
8,Antler,North Dakota
1,Coleharbor,North Dakota
0,Starkweather,North Dakota
0,Esmond,North Dakota
5,Pettibone,North Dakota
0,Hamberg,North Dakota
0,Underwood,North Dakota
4,Alexander,North Dakota
7,Butte,North Dakota
27,Caledonia,North Dakota
6,Bucyrus,North Dakota
1,Noonan,North Dakota
0,Brinsmade,North Dakota
10,Lawton,North Dakota
0,Ruthville,North Dakota
0,Monango,North Dakota
0,Regent,North Dakota
10,Goodrich,North Dakota
12,Steele,North Dakota
0,Haynes,North Dakota
0,Carpio,North Dakota
9,Newburg,North Dakota
0,Lakota,North Dakota
0,Warwick,North Dakota
0,Harwood,North Dakota
4,Reeder,North Dakota
9,Tolley,North Dakota
10,Kenmare,North Dakota
8,Rugby,North Dakota
6,Wales,North Dakota
14,Napoleon,North Dakota
1,Oberon,North Dakota
0,Argusville,North Dakota
0,Four Bears Village,North Dakota
0,Davenport,North Dakota
2,Wyndmere,North Dakota
9,Elgin,North Dakota
1,Sheyenne,North Dakota
0,Maxbass,North Dakota
0,Mayville,North Dakota
9,Mott,North Dakota
0,Michigan City,North Dakota
8,Dawson,North Dakota
1,Sentinel Butte,North Dakota
1,Fingal,North Dakota
9,Killdeer,North Dakota
11,Tappen,North Dakota
0,Elliott,North Dakota
0,Grano,North Dakota
0,Wimbledon,North Dakota
0,Grafton,North Dakota
12,Driscoll,North Dakota
0,Portal,North Dakota
0,Deering,North Dakota
4,Ashley,North Dakota
0,Center,North Dakota
0,Edinburg,North Dakota
11,Orrin,North Dakota
1,Riverdale,North Dakota
0,West Fargo,North Dakota
0,Great Bend,North Dakota
9,Gascoyne,North Dakota
0,Buchanan,North Dakota
0,Fordville,North Dakota
3,Strasburg,North Dakota
0,Edgeley,North Dakota
7,Rocklake,North Dakota
16,Sheldon,North Dakota
0,Glenburn,North Dakota
0,Erie,North Dakota
8,Forbes,North Dakota
7,Perth,North Dakota
2,Buxton,North Dakota
0,Ardoch,North Dakota
1,Mandan,North Dakota
0,Ross,North Dakota
12,Tioga,North Dakota
0,Cayuga,North Dakota
11,Braddock,North Dakota
0,Munich,North Dakota
0,Knox,North Dakota
1,Forman,North Dakota
0,Fortuna,North Dakota
1,Palermo,North Dakota
0,Ambrose,North Dakota
1,Fort Yates,North Dakota
10,Adams,North Dakota
0,Christine,North Dakota
0,Alice,North Dakota
0,Alamo,North Dakota
0,Arthur,North Dakota
0,Cannon Ball,North Dakota
7,Martin,North Dakota
9,Cando,North Dakota
13,Woodworth,North Dakota
0,Page,North Dakota
9,Anamoose,North Dakota
0,Spiritwood,North Dakota
11,Walhalla,North Dakota
0,Cleveland,North Dakota
0,Prairie Rose,North Dakota
15,Colfax,North Dakota
0,McLeod,North Dakota
0,Overly,North Dakota
1,Leal,North Dakota
11,Aneta,North Dakota
0,Mantador,North Dakota
15,Medora,North Dakota
0,Abercrombie,North Dakota
0,Columbus,North Dakota
9,Flaxton,North Dakota
0,Spiritwood Lake,North Dakota
0,New England,North Dakota
0,Plaza,North Dakota
0,Belfield,North Dakota
0,Dwight,North Dakota
0,Conway,North Dakota
0,Nekoma,North Dakota
0,Montpelier,North Dakota
0,Landa,North Dakota
10,Donnybrook,North Dakota
8,Bergen,North Dakota
0,Bottineau,North Dakota
0,Embden,North Dakota
0,Ypsilanti,North Dakota
10,Grace City,North Dakota
0,LaMoure,North Dakota
1,New Salem,North Dakota
0,Tower City,North Dakota
0,Balta,North Dakota
1,Arnegard,North Dakota
9,Jud,North Dakota
0,Walcott,North Dakota
7,Denhoff,North Dakota
0,Rogers,North Dakota
12,Marmarth,North Dakota
0,Heil,North Dakota
0,Crystal,North Dakota
0,Oriska,North Dakota
0,Taylor,North Dakota
11,Gackle,North Dakota
0,Kathryn,North Dakota
0,Grand Forks AFB,North Dakota
1,Menoken,North Dakota
0,Crary,North Dakota
1,Sawyer,North Dakota
1,Selfridge,North Dakota
0,Wildrose,North Dakota
5,Kulm,North Dakota
2,Voltaire,North Dakota
0,Hoople,North Dakota
9,Balfour,North Dakota
0,Park River,North Dakota
0,Finley,North Dakota
8,Karlsruhe,North Dakota
0,Mooreton,North Dakota
0,Forest River,North Dakota
8,Hurdsfield,North Dakota
5,Medina,North Dakota
0,Rhame,North Dakota
10,Beulah,North Dakota
0,Minnewaukan,North Dakota
0,Litchville,North Dakota
9,Havana,North Dakota
0,Scranton,North Dakota
0,Ryder,North Dakota
0,Gardena,North Dakota
1,Buffalo,North Dakota
0,South Heart,North Dakota
86,Ansley,Nebraska
68,Albion,Nebraska
450,Hampton,Nebraska
688,La Platte,Nebraska
248,Nebraska City,Nebraska
465,Rising City,Nebraska
1196,Bennet,Nebraska
89,Dalton,Nebraska
14,Halsey,Nebraska
321,Abie,Nebraska
20,Bassett,Nebraska
269,Santee,Nebraska
1,Sprague,Nebraska
82,Chadron,Nebraska
42,Nora,Nebraska
461,Foster,Nebraska
19,Petersburg,Nebraska
86,Henderson,Nebraska
326,Deweese,Nebraska
124,Stanton,Nebraska
439,Aurora,Nebraska
272,Malmo,Nebraska
45,Lynch,Nebraska
82,Cook,Nebraska
180,Rosalie,Nebraska
44,Strang,Nebraska
14,Gurley,Nebraska
26,Mason City,Nebraska
29,Burwell,Nebraska
1,Norfolk,Nebraska
117,Alma,Nebraska
12,Bridgeport,Nebraska
241,Morrill,Nebraska
106,Wakefield,Nebraska
154,Smithfield,Nebraska
20,Magnet,Nebraska
14,Dix,Nebraska
421,Wilber,Nebraska
22,Greeley Center,Nebraska
64,Daykin,Nebraska
13,Mullen,Nebraska
555,Miller,Nebraska
54,Farnam,Nebraska
1,Crete,Nebraska
22,Red Cloud,Nebraska
18,Stamford,Nebraska
161,Maskell,Nebraska
23,Edison,Nebraska
71,Filley,Nebraska
5,Beaver Crossing,Nebraska
8,Inglewood,Nebraska
0,Panama,Nebraska
4,Otoe,Nebraska
12,Liberty,Nebraska
16,Archer,Nebraska
2,Cordova,Nebraska
1,Stockham,Nebraska
14,Oshkosh,Nebraska
120,Ogallala,Nebraska
2,Palmer,Nebraska
7,Steele City,Nebraska
0,Holmesville,Nebraska
3,Kennard,Nebraska
11,Gandy,Nebraska
0,Weeping Water,Nebraska
1028,Walthill,Nebraska
10,Taylor,Nebraska
11,Arcadia,Nebraska
5,Silver Creek,Nebraska
23,Litchfield,Nebraska
4,Mitchell,Nebraska
0,Ohiowa,Nebraska
94,Stella,Nebraska
24,Franklin,Nebraska
0,Ashland,Nebraska
12,Ruskin,Nebraska
1,Seward,Nebraska
4,Exeter,Nebraska
3,Stromsburg,Nebraska
15,Alexandria,Nebraska
16,Winnetoon,Nebraska
24,Hardy,Nebraska
7,Cedar Rapids,Nebraska
25,Amherst,Nebraska
8,Thedford,Nebraska
1,David City,Nebraska
3,Hartington,Nebraska
12,Max,Nebraska
17,Fairfield,Nebraska
0,Hubbell,Nebraska
0,Peru,Nebraska
0,Firth,Nebraska
17,Brunswick,Nebraska
3,Ayr,Nebraska
25,Merriman,Nebraska
2,Milford,Nebraska
17,Scotia,Nebraska
0,Lewiston,Nebraska
0,Odell,Nebraska
23,Naper,Nebraska
84,McCook,Nebraska
5,Avoca,Nebraska
4,Farwell,Nebraska
0,Uehling,Nebraska
2,Dannebrog,Nebraska
0,Barneston,Nebraska
18,Big Springs,Nebraska
17,Emerson,Nebraska
15,Shelton,Nebraska
0,Henry,Nebraska
0,St. Paul,Nebraska
14,Neligh,Nebraska
7,Spalding,Nebraska
0,Waverly,Nebraska
0,Harbine,Nebraska
0,Carroll,Nebraska
21,Haigler,Nebraska
74,Wellfleet,Nebraska
5,Dunning,Nebraska
0,Giltner,Nebraska
0,Hickman,Nebraska
30,Cushing,Nebraska
0,Richland,Nebraska
11,Sidney,Nebraska
5,Bushnell,Nebraska
1,Syracuse,Nebraska
253,North Platte,Nebraska
45,Inman,Nebraska
0,Ralston,Nebraska
0,Louisville,Nebraska
18,Enders,Nebraska
33,Ragan,Nebraska
54,Verdon,Nebraska
2,Winslow,Nebraska
23,Clarks,Nebraska
47,Rulo,Nebraska
0,Springfield,Nebraska
7,Sunol,Nebraska
3,Winnebago,Nebraska
13,Oconto,Nebraska
19,Hazard,Nebraska
0,Chalco,Nebraska
65,Hemingford,Nebraska
1,Fordyce,Nebraska
0,Clarkson,Nebraska
15,Orchard,Nebraska
22,Grant,Nebraska
0,Chapman,Nebraska
3,Monowi,Nebraska
0,Octavia,Nebraska
44,Wood Lake,Nebraska
0,Crawford,Nebraska
12,Cotesfield,Nebraska
1,Sumner,Nebraska
3,Goehner,Nebraska
9,Anoka,Nebraska
0,Davey,Nebraska
4,Lindsay,Nebraska
0,Bruning,Nebraska
0,Leigh,Nebraska
0,Thurston,Nebraska
18,Crookston,Nebraska
0,Murray,Nebraska
0,Auburn,Nebraska
15,Alliance,Nebraska
10,Superior,Nebraska
19,Wallace,Nebraska
8,Willow Island,Nebraska
0,Berwyn,Nebraska
1,Scribner,Nebraska
11,Minden,Nebraska
0,Diller,Nebraska
7,Curtis,Nebraska
2,St. Libory,Nebraska
0,Washington,Nebraska
0,Meadow Grove,Nebraska
0,King Lake,Nebraska
0,Richfield,Nebraska
0,Terrytown,Nebraska
13,Guide Rock,Nebraska
10,Callaway,Nebraska
0,Oxford,Nebraska
0,Hildreth,Nebraska
28,Wilsonville,Nebraska
1,Central City,Nebraska
0,Poole,Nebraska
20,Newport,Nebraska
0,Mead,Nebraska
0,Ceresco,Nebraska
0,Roca,Nebraska
11,Belgrade,Nebraska
0,Concord,Nebraska
1,Cairo,Nebraska
2,Fairmont,Nebraska
1,Elwood,Nebraska
0,Newman Grove,Nebraska
0,Manley,Nebraska
0,Elmwood,Nebraska
32,West Point,Nebraska
1,Jackson,Nebraska
1,Gibbon,Nebraska
0,Cozad,Nebraska
0,Douglas,Nebraska
2,Obert,Nebraska
0,Waterloo,Nebraska
0,Surprise,Nebraska
7,Elyria,Nebraska
0,Eagle,Nebraska
0,Lawrence,Nebraska
12,Hyannis,Nebraska
0,Scottsbluff,Nebraska
0,Wymore,Nebraska
8,Ord,Nebraska
7,Anselmo,Nebraska
0,Doniphan,Nebraska
0,Creston,Nebraska
0,Loretto,Nebraska
53,Gordon,Nebraska
0,Nickerson,Nebraska
1,Tamora,Nebraska
0,Humphrey,Nebraska
0,Leshara,Nebraska
3,Belmar,Nebraska
0,Lyons,Nebraska
0,Humboldt,Nebraska
6,Holbrook,Nebraska
11,Potter,Nebraska
16,Ong,Nebraska
17,Valentine,Nebraska
0,Hebron,Nebraska
2,Bradshaw,Nebraska
2,Sutherland,Nebraska
0,Brock,Nebraska
8,Elba,Nebraska
0,Clatonia,Nebraska
3,Benedict,Nebraska
1,Arlington,Nebraska
8,Lewellen,Nebraska
0,Bennington,Nebraska
0,Sargent,Nebraska
0,Milligan,Nebraska
9,Nelson,Nebraska
1,Friend,Nebraska
0,Geneva,Nebraska
0,Western,Nebraska
8,Loup City,Nebraska
1,McCool Junction,Nebraska
0,Greenwood,Nebraska
0,Inland,Nebraska
0,Brady,Nebraska
1,Bee,Nebraska
0,Garrison,Nebraska
28,Venango,Nebraska
0,Bazile Mills,Nebraska
17,Bartley,Nebraska
0,North Bend,Nebraska
0,Julian,Nebraska
2,Preston,Nebraska
0,Hershey,Nebraska
0,Nehawka,Nebraska
0,Hallam,Nebraska
2,Thayer,Nebraska
1,Allen,Nebraska
2,Fairbury,Nebraska
0,Niobrara,Nebraska
1,Elm Creek,Nebraska
0,Table Rock,Nebraska
0,Lindy,Nebraska
0,Bladen,Nebraska
3,Primrose,Nebraska
0,Shelby,Nebraska
0,Lushton,Nebraska
0,Martinsburg,Nebraska
12,Parks,Nebraska
1,Phillips,Nebraska
3,Clearwater,Nebraska
5,Ericson,Nebraska
0,Belvidere,Nebraska
0,Juniata,Nebraska
0,Grand Island,Nebraska
0,Norman,Nebraska
9,Brownlee,Nebraska
184,Tekamah,Nebraska
4,Wauneta,Nebraska
0,Wahoo,Nebraska
0,Trumbull,Nebraska
0,Herman,Nebraska
2,Staplehurst,Nebraska
0,Tilden,Nebraska
2,Sutton,Nebraska
2,Riverdale,Nebraska
0,Wilcox,Nebraska
0,Nemaha,Nebraska
1,Rogers,Nebraska
0,Huntley,Nebraska
1,Cedar Bluffs,Nebraska
0,Chester,Nebraska
0,Holstein,Nebraska
0,Madison,Nebraska
0,Westerville,Nebraska
3,Hamlet,Nebraska
1,Pleasanton,Nebraska
0,Orleans,Nebraska
0,Duncan,Nebraska
11,Fullerton,Nebraska
0,Fontanelle,Nebraska
0,Wayne,Nebraska
0,Lorenzo,Nebraska
0,Yutan,Nebraska
0,Alda,Nebraska
0,Bruno,Nebraska
1,Dodge,Nebraska
0,North Loup,Nebraska
13,Hay Springs,Nebraska
0,St. Helena,Nebraska
11,Culbertson,Nebraska
0,Hooper,Nebraska
0,Crab Orchard,Nebraska
13,Emmet,Nebraska
0,Cedar Creek,Nebraska
0,Stapleton,Nebraska
1,Dakota City,Nebraska
0,Lexington,Nebraska
0,Osceola,Nebraska
0,Prosser,Nebraska
0,Brownville,Nebraska
8,Inavale,Nebraska
0,Prague,Nebraska
2,Byron,Nebraska
0,Coleridge,Nebraska
8,Chambers,Nebraska
6,Springview,Nebraska
0,Battle Creek,Nebraska
4,Brewster,Nebraska
0,Plymouth,Nebraska
0,Unadilla,Nebraska
9,Bayard,Nebraska
15,Lamar,Nebraska
0,Brainard,Nebraska
0,Boys Town,Nebraska
0,O'Neill,Nebraska
0,Tobias,Nebraska
0,York,Nebraska
1,Harvard,Nebraska
4,Butte,Nebraska
0,Ames,Nebraska
0,Swanton,Nebraska
0,Winside,Nebraska
7,Bristow,Nebraska
11,Edgar,Nebraska
2,Cowles,Nebraska
6,Stratton,Nebraska
0,Offutt AFB,Nebraska
0,Endicott,Nebraska
2,Seneca,Nebraska
5,Stockville,Nebraska
0,Malcolm,Nebraska
13,Paxton,Nebraska
0,Eddyville,Nebraska
0,Colon,Nebraska
1,Marquette,Nebraska
0,Reynolds,Nebraska
9,Oakland,Nebraska
0,Bellwood,Nebraska
18,Falls City,Nebraska
0,Lyman,Nebraska
3,Bertrand,Nebraska
1,Pleasant Dale,Nebraska
0,Craig,Nebraska
0,St. Edward,Nebraska
0,Morse Bluff,Nebraska
1,Moorefield,Nebraska
0,Cornlea,Nebraska
0,Dorchester,Nebraska
0,Waterbury,Nebraska
1,Whitney,Nebraska
0,Atlanta,Nebraska
1,Funk,Nebraska
0,Homer,Nebraska
0,Pierce,Nebraska
2,Broken Bow,Nebraska
0,Pilger,Nebraska
8,Arnold,Nebraska
0,Alvo,Nebraska
0,Omaha,Nebraska
1,Davenport,Nebraska
5,Carleton,Nebraska
6,Kimball,Nebraska
2,Elgin,Nebraska
0,Ulysses,Nebraska
0,Elk Creek,Nebraska
7,Hendley,Nebraska
0,Plattsmouth,Nebraska
0,Monroe,Nebraska
0,Howard City,Nebraska
3,Loomis,Nebraska
0,Hubbard,Nebraska
1,Tecumseh,Nebraska
8,Broadwater,Nebraska
1,Utica,Nebraska
0,Sterling,Nebraska
0,Raymond,Nebraska
0,Linwood,Nebraska
2,Grafton,Nebraska
2,Blair,Nebraska
0,Talmage,Nebraska
8,Ainsworth,Nebraska
0,Merna,Nebraska
4,Beaver City,Nebraska
7,Bartlett,Nebraska
